17,mqqglmieqtsvyyydkoq,55.87,hggqqyvbxyryjdafjlduxzmjbudonbqwdsantpwyjdc,596
21,dciztyerdcqdtfgkzojuna,91.99,ncekqzsaheqlnlklewwwnfxxi,268
26,kztihnnxwlxii,35.47,vfbywjkibexcexqvwmbzqabatwlmazovexbivo,20
43,zfbeknvoyujqef,23.05,xnvyyzmmgjjbefnwnmodfaxschctdndkgyxxbzjuqlshgk,853
48,pojacyrrgmgdimmjizpi,37.42,khlflrofgiznowuffmpfyxipltnibkgeykucurynrojws,457
51,lmcbyxsjtjgeecafwnjjbps,29.19,vaveypsoktofcvmhlrkredeuocjzmvhhg,522
54,ebsedtkjyvhhtiwy,29.81,cqexuzuptxpqzyatuhdvrexbtkoecvxesad,523
76,kbkeqwsnrvyjrhmne,97.99,dzcjsivdxllzswkonollmnvfiblayas,941
83,rwobfjviwqeoaab,46.57,qeyklooghbbnvhhdnqztsilotwiooobvyhxfg,99
92,bthwpystqjofpllpoo,38.16,oyrhlnodnqrxnejeyqtbjhzgtfwgaxziikfwfell,807
121,inpheksxbtuixgcmo,39.49,rbxepzvounqkwcaixjcjbkacdrtm,400
122,yovlnfwkblnwb,99.85,vojkumrfrizfphelkonzuxlofuazfrpseum,310
136,eftbxnesepebewg,96.69,jsbgqwaheopofcbbeehgajjinsibmuauhcjukkcdfyd,829
149,farpcfefqagrmj,5.64,yyeoyynerxhzdfninwtzsobmfzaxbbzwfaohbtpn,765
157,zqqdsqxrkfvqgprybznv,66.03,anezwacfmtooqisrbORIGINALb,453
159,dgvulheqtvbcpmi,61.99,zxjrqatwkivfzxpcwgunsseekq,687
161,ealzdaeffnbawmwqr,78.41,rcofxffvheuysszmytxORIGINALbwpgayjiagv,400
180,rwzrohaeeygcpkwquzne,61.49,igffvspzxORIGINALxkzchbejqfixrqjnqyvbto,53
193,bxlyutgobnzlbehxqyizxd,73.97,toconchufszoxjiyltwgdqenerwxsppysr,432
209,ypjyxfeqbdmlshgetklg,14.35,nrqjwdytjcffprmuvhhdlccfvcytzagkzwajgm,246
215,emtbltfnwieaagizoptyf,42.25,kpfcmdriiwlnipechviuadgORIGINALzoilz,245
216,ospuxzgdlcivcgbbmlde,4.59,psmtwqwhmnzvtyxatywrkvuuoswvtczwntqaehuixuwkbehcp,166
249,uxaibanocchny,23.19,mketfvubqetcnzrszerbiptkptqwaoupmzfuxhgrjdarg,641
250,gfmyrdotlnbioymis,10.56,xmxruufblORIGINALleknzggsytb,151
256,uvyuyhkxfytssq,43.13,thrmikokzwwgpscbsrnnvwoyvyf,82
302,kbrpcbjdymaigscqm,8.87,jpaymiandbhseyzgetgujhbxxsvyatjrmxok,428
307,rwqjnzppvclpeulwm,78.32,dbsaoORIGINALaxfsgvxoudglngu,661
322,fmeacvanzqbkwwa,27.98,qfweifhxaladyvllsapxocwgrwkl,469
342,dithlbmnuqyxjhcn,42.72,ryssfzmnxjgywqgufkjrndsajbediupkhkdvq,807
356,vinvbzaqxoaieydnbc,80.02,bvkyaorepnffnnxoyzruhyveoqpyswx,620
